,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
513,513,6675,PomoNews: ENEMY OF THE PEOPLE: DOXX THE MANAFORT JURORS! https://buff.ly/2IU5wPJ #FakeNews #CNN #buzzfeed #politico #EnemyOfThePeople,0.0,1.0,0.6,0.4,"The post contains a call to action to 'doxx' the Manafort jurors, which can be interpreted as a call for harassment or intimidation, potentially inciting harm. This falls under the 'Calls for Violence' aspect of hate speech. The use of terms like 'ENEMY OF THE PEOPLE' also suggests a demeaning or degrading tone towards certain groups, in this case, the media or jurors. However, the post does not contain vulgarity or offensive language. The call to 'doxx' is a significant factor that could lead to a higher percentage of annotators classifying it as hate speech, but there may still be some disagreement due to the lack of explicit vulgarity or direct threats.","The post 'PomoNews: ENEMY OF THE PEOPLE: DOXX THE MANAFORT JURORS! https://buff.ly/2IU5wPJ #FakeNews #CNN #buzzfeed #politico #EnemyOfThePeople' suggests a call to action to 'doxx' the Manafort jurors, which can be interpreted as a call for harassment or intimidation, potentially inciting harm. This falls under the 'Calls for Violence' aspect of hate speech. The use of terms like 'ENEMY OF THE PEOPLE' also suggests a demeaning or degrading tone towards certain groups, in this case, the media or jurors. However, the post does not contain vulgarity or offensive language. The call to 'doxx' is a significant factor that could lead to a higher percentage of annotators classifying it as hate speech, but there may still be some disagreement due to the lack of explicit vulgarity or direct threats.",0.6
529,529,6912,http://floridafamily.org/issues.php Take Action Against Islam and Leftists,0.0,1.0,0.7,0.3,"The post's call to 'Take Action Against Islam and Leftists' suggests a potential assault on human dignity by targeting a religious group and a political ideology. The language used could be interpreted as inciting action against these groups, which may be perceived as a call for violence or discrimination. The post's content is likely to be seen as hate speech by a significant portion of annotators due to its explicit targeting of specific groups, leading to a low level of disagreement among annotators.","The post's call to 'Take Action Against Islam and Leftists' suggests a potential assault on human dignity by targeting a religious group and a political ideology. The language used could be interpreted as inciting action against these groups, which may be perceived as a call for violence or discrimination. The post's content is likely to be seen as hate speech by a significant portion of annotators due to its explicit targeting of specific groups, leading to a low level of disagreement among annotators.",0.7
580,580,7599,"What can we learn from the story of South Africa? First World nations can only exist and be maintained under a First World people. Now you know the story of South Africa. It's founding, creation and subsequent fall from grace. Demographics are destiny. THE END.",0.0,1.0,0.7,0.3,"The post suggests that the decline of South Africa is due to demographic changes, implying that only certain 'First World people' can maintain a 'First World nation.' This can be interpreted as an assault on human dignity, as it degrades groups based on race or ethnicity. The phrase 'demographics are destiny' is often used in contexts that suggest racial superiority or inferiority. While the post does not explicitly call for violence or use vulgar language, its implications about race and national success are likely to be seen as hate speech by a significant portion of annotators. However, some may interpret it as a commentary on socio-economic factors rather than race, leading to some disagreement.","The post implies that the decline of South Africa is due to demographic changes, suggesting that only certain 'First World people' can maintain a 'First World nation.' This can be interpreted as an assault on human dignity, as it degrades groups based on race or ethnicity. The phrase 'demographics are destiny' is often used in contexts that suggest racial superiority or inferiority. While the post does not explicitly call for violence or use vulgar language, its implications about race and national success are likely to be seen as hate speech by a significant portion of annotators. However, some may interpret it as a commentary on socio-economic factors rather than race, leading to some disagreement.",0.7
624,624,8192,"could get the pay fax to work, I tried many times, and I checked my statement and it was never charged so I assume the fax never faxed.  I consider myself an American ,Christian, Patriot among other things, I hope all is going well for you and remember because of their doctrine of what they believe never trust a muslim, Thomas Jefferson was right to call the muslims",0.0,1.0,0.7,0.3,"The post contains a statement that explicitly expresses distrust towards Muslims, which can be considered an assault on human dignity based on religion. This type of language is likely to be interpreted as hate speech by a significant portion of annotators. However, the post does not contain calls for violence or vulgar language, which might lead some annotators to classify it as not hate speech. The reference to Thomas Jefferson adds a historical context that might influence interpretations, but the clear expression of religious bias suggests a higher likelihood of being labeled as hate speech.","The post contains a statement that explicitly expresses distrust towards Muslims, which can be considered an assault on human dignity based on religion. This type of language is likely to be interpreted as hate speech by a significant portion of annotators. However, the post does not contain calls for violence or vulgar language, which might lead some annotators to classify it as not hate speech. The reference to Thomas Jefferson adds a historical context that might influence interpretations, but the clear expression of religious bias suggests a higher likelihood of being labeled as hate speech.",0.7
641,641,8353,Obama's DAVID AXELROD as Campaign Manager of MUSLIM Candidate for President of Nigeria.  Campaign strategy = Christian President Johnathan Goodlucke could not protect people of Nigeria from TERRORISM & BOKO HARAM.  The Obamas knew people of Nigeria were suffering - under  BOKO HARAM  Hillary Clinton as SOS refused to place BOKO HARAM on TERRORIST WATCH LIST,0.0,1.0,0.6,0.4,"The post contains elements that could be interpreted as hate speech, particularly in its framing of a 'Muslim Candidate' and the implication of a campaign strategy that exploits religious tensions. It also mentions Boko Haram, a terrorist group, in a way that could be seen as inciting fear or prejudice against Muslims. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. The focus on political figures and their actions might also be seen as a critique rather than hate speech, leading to a moderate level of disagreement.","The post discusses political figures and their actions in relation to Nigeria's issues with terrorism and Boko Haram. It highlights religious and political tensions by mentioning a 'Muslim Candidate' and criticizing the actions of Obama and Hillary Clinton. While it does not contain explicit calls for violence or vulgar language, it could be seen as demeaning or inciting prejudice against Muslims by associating them with terrorism. This could lead to a moderate level of disagreement among annotators, as some may view it as a political critique rather than hate speech.",0.6
652,652,8497,"Oops, got suspended on twitter for suggesting adults sexually attracted to babies should get offed",0.0,1.0,0.6,0.4,"The post suggests violence against a specific group of people, which falls under the 'Calls for Violence' aspect of hate speech. While many might agree with the sentiment due to the nature of the group being targeted (adults sexually attracted to babies), the explicit suggestion of violence ('should get offed') is likely to be considered hate speech by a significant portion of annotators. However, some annotators might not classify it as hate speech due to the moral repugnance of the targeted group, leading to some disagreement.","The post explicitly suggests violence against a group of people, which is a clear indicator of hate speech under the 'Calls for Violence' category. However, the group being targeted (adults sexually attracted to babies) is widely condemned, which might lead some annotators to not classify it as hate speech. This results in a moderate level of disagreement among annotators.",0.6
668,668,8705,"Him and his 'great society, and 'affirmative  action' are a dark stain on the U.S. ",0.0,1.0,0.6,0.4,"The post refers to 'great society' and 'affirmative action' as a 'dark stain' on the U.S., which can be interpreted as an assault on human dignity, particularly targeting policies aimed at addressing racial inequality. The language used is derogatory towards these initiatives, which are often associated with racial justice and equality. This could lead to a significant portion of annotators viewing it as hate speech. However, the post does not explicitly call for violence or use vulgar language, which might lead some annotators to classify it as not hate speech. The disagreement arises from the interpretation of the phrase 'dark stain' and its implications.","The post criticizes 'great society' and 'affirmative action,' referring to them as a 'dark stain' on the U.S. This language can be seen as demeaning towards policies that are designed to promote racial equality, which may be interpreted as an assault on human dignity. However, the post does not contain explicit calls for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech. The disagreement likely stems from differing views on whether the criticism of these policies constitutes hate speech.",0.6
709,709,9059,someone with a twitter account send this photo to the judge that kangaroo courted Tommy Robinson to 13 months. If the judge is smart he will know what this painting represents. ,0.0,1.0,0.6,0.4,"The post suggests sending a photo to a judge who sentenced Tommy Robinson, implying a threat or intimidation. The reference to 'kangaroo courted' indicates a belief in an unfair trial, and the mention of a painting that the judge should understand could imply a veiled threat. This can be seen as an assault on human dignity and potentially a call for violence, depending on the nature of the painting. The ambiguity of the painting's meaning and the context of the threat may lead to some disagreement among annotators, but the post leans towards being classified as hate speech due to its threatening undertone.","The post implies a threat or intimidation towards a judge by suggesting that a photo should be sent to them, with the expectation that the judge will understand its significance. The use of the term 'kangaroo courted' suggests a belief in an unfair trial, and the reference to a painting that the judge should recognize could imply a veiled threat. This can be interpreted as an assault on human dignity and potentially a call for violence, depending on the nature of the painting. The ambiguity of the painting's meaning and the context of the threat may lead to some disagreement among annotators, but the post leans towards being classified as hate speech due to its threatening undertone.",0.6
737,737,9537,"Just imagine if this was the other way around. Just imagine making a video being all chirpy and happy, celebrating how a capital city of a black country is now majority white. Imagine the weight of the outrage you'd be subjected to. But this? Nah. This is fine. Apparently. https://www.youtube.com/watch?v=irSXUB0LYdI",0.0,1.0,0.6,0.4,"The post implies a racial double standard by suggesting that celebrating demographic changes in a capital city is acceptable only when it involves a majority black population. This could be interpreted as an assault on human dignity by implying that demographic changes involving white populations are not celebrated or are viewed negatively. The post does not explicitly call for violence or use vulgar language, but the underlying racial implications may lead to disagreement among annotators about whether it constitutes hate speech. The ambiguity in the post's intent and the potential for different interpretations based on subjective views about racial issues suggest a moderate level of disagreement among annotators.","The post suggests a racial double standard by implying that celebrating demographic changes in a capital city is acceptable only when it involves a majority black population. This could be interpreted as an assault on human dignity by implying that demographic changes involving white populations are not celebrated or are viewed negatively. The post does not explicitly call for violence or use vulgar language, but the underlying racial implications may lead to disagreement among annotators about whether it constitutes hate speech. The ambiguity in the post's intent and the potential for different interpretations based on subjective views about racial issues suggest a moderate level of disagreement among annotators.",0.6
771,771,9737,"it shows how weak the democrats are to have to rely on a child to do their heavy lifting. they send a kid out to do combat, how is that different than Hamas with their child soldiers?",0.0,1.0,0.6,0.4,"The post compares the Democratic party to Hamas, a group known for using child soldiers, which could be seen as an assault on human dignity by equating a political party with a terrorist organization. This comparison may be interpreted as demeaning or degrading. However, it does not explicitly call for violence or use vulgar language. The analogy used could lead to some disagreement among annotators, but the post's intent to demean is relatively clear, suggesting a moderate level of agreement that it constitutes hate speech.","The post makes a comparison between the Democratic party and Hamas, suggesting that both use children for their purposes. This could be interpreted as an assault on human dignity, as it equates a political party with a terrorist organization known for using child soldiers. The post does not contain explicit calls for violence or use vulgar language, but the analogy could be seen as demeaning or degrading. Given the nature of the comparison, there might be some disagreement among annotators, but the post's intent to demean is relatively clear, leading to a moderate level of agreement that it constitutes hate speech.",0.6
783,783,9926,"Amen brother, this is why some of the new grassroots ideas coming from the left trying to normalize pedophilia. They are testing the waters.",0.0,1.0,0.6,0.4,"The post suggests that there are efforts to normalize pedophilia, which is a highly sensitive and controversial topic. It implies a negative view of certain 'grassroots ideas' from the left, potentially demeaning them by associating them with pedophilia. This could be seen as an assault on human dignity by implying malicious intent. However, it does not explicitly call for violence or use vulgar language. The interpretation of this post as hate speech may vary, leading to some disagreement among annotators.","The post suggests that certain ideas from the left are attempting to normalize pedophilia, which is a highly charged and sensitive accusation. This could be interpreted as an assault on human dignity by associating a political group with a criminal and morally reprehensible act. However, the post does not explicitly call for violence or use vulgar language. The interpretation of this post as hate speech may vary, leading to some disagreement among annotators. Therefore, I predict a moderate level of disagreement with a slight majority classifying it as hate speech.",0.6
785,785,9938,"🌻 DEFEND 🌻 EUROPA 🌻  A nation consists of its blood & soil: An ethnically homogeneous people & the soil they cultivate, the domain that provides shelter, refuge & nourishment from the soil where their ancestors lie buried.",0.0,1.0,0.7,0.3,"The post uses language that aligns with ethnonationalist ideologies, emphasizing 'blood and soil,' which historically has been associated with exclusionary and supremacist views. This can be seen as an assault on human dignity by promoting the idea of ethnic homogeneity as a national ideal. The post does not explicitly call for violence or use vulgar language, but the underlying message may be interpreted as promoting exclusion based on ethnicity, which is a key aspect of hate speech. Given the historical context and the potential for different interpretations, there might be some disagreement among annotators, but the post is likely to be seen as hate speech by a majority due to its ideological implications.","The post emphasizes the concept of 'blood and soil,' which is a phrase historically associated with ethnonationalist and supremacist ideologies. This language suggests an exclusionary view of nationhood based on ethnic homogeneity, which can be interpreted as an assault on human dignity by promoting the idea that only certain ethnic groups belong to a nation. While the post does not explicitly call for violence or use vulgar language, the underlying message may be seen as promoting exclusion based on ethnicity, which is a key aspect of hate speech. Given the historical context and the potential for different interpretations, there might be some disagreement among annotators, but the post is likely to be seen as hate speech by a majority due to its ideological implications.",0.7
820,820,10246,Rest from work? These rats having done any real work since 1945.,0.0,1.0,0.7,0.3,"The post uses derogatory language ('rats') which can be interpreted as demeaning or degrading, potentially targeting a specific group. The reference to 'since 1945' could imply a historical context, possibly alluding to a group associated with World War II, which may be interpreted as anti-Semitic or targeting another group affected by the war. This makes the post likely to be seen as an assault on human dignity. However, the lack of explicit context or direct mention of a specific group may lead to some disagreement among annotators.","The post uses derogatory language ('rats') which can be interpreted as demeaning or degrading, potentially targeting a specific group. The reference to 'since 1945' could imply a historical context, possibly alluding to a group associated with World War II, which may be interpreted as anti-Semitic or targeting another group affected by the war. This makes the post likely to be seen as an assault on human dignity. However, the lack of explicit context or direct mention of a specific group may lead to some disagreement among annotators. Therefore, I predict a higher percentage of annotators classifying it as hate speech, but with some disagreement: [0.7, 0.3].",0.7
837,837,10589,I'm sure mercy will convince them not to genocide us.,0.0,1.0,0.6,0.4,"The post contains a sarcastic tone suggesting that mercy will not prevent a genocide, which can be interpreted as a call for violence or a warning of violence against a group. The use of the term 'genocide' is severe and can be seen as demeaning or degrading, potentially falling under the category of assaults on human dignity. However, the post does not explicitly call for violence or use vulgar language, leading to some ambiguity in interpretation. This could result in a moderate level of disagreement among annotators.","The post's sarcastic tone and reference to genocide suggest a potential call for violence or a warning of violence against a group. The severity of the term 'genocide' can be seen as demeaning or degrading, potentially falling under assaults on human dignity. However, the lack of explicit calls for violence or vulgar language introduces some ambiguity, leading to moderate disagreement among annotators.",0.6
873,873,11026,"reading a bit of what this person had to say for defense, one might glean from it and say that he's a bit of a crazy tranny. https://bbc.in/2ADedyv",0.0,1.0,0.6,0.4,"The post uses the term 'crazy tranny,' which is a derogatory slur against transgender individuals. This language can be considered an assault on human dignity as it demeans a group based on gender identity. The use of such a slur is likely to be interpreted as hate speech by a significant portion of annotators. However, the post does not contain calls for violence or explicit vulgarity beyond the slur, which may lead to some annotators not classifying it as hate speech. This results in a moderate level of disagreement among annotators.","The post contains a derogatory term 'tranny,' which is considered a slur against transgender individuals. This falls under the category of assaults on human dignity as it targets a group based on gender identity. The use of such language is likely to be seen as hate speech by many annotators. However, the post does not explicitly call for violence or use additional vulgar language, which might lead some annotators to classify it as not hate speech. Therefore, there is a moderate level of disagreement expected among annotators.",0.6
874,874,11032,"I'm so triggered. As an Asian, I will not stand by that privileged white woman saying that an Asian country has so utterly failed that any one in it will 'most likely get killed'. She's basically saying that Asians don't know how to run a country and provide common security to the people in it. #whitematriarchy",0.0,1.0,0.6,0.4,"The post expresses strong disapproval of a statement made by a 'privileged white woman' about an Asian country, which is perceived as demeaning to Asians. This could be seen as an assault on human dignity, as it suggests racial superiority or incompetence. The use of the hashtag #whitematriarchy also implies a critique of racial and gender power dynamics. However, the post does not contain calls for violence or vulgar language, which might lead to some disagreement among annotators about whether it constitutes hate speech.","The post criticizes a statement perceived as racially insensitive, suggesting that it demeans Asians by implying they cannot run a country effectively. This could be seen as an assault on human dignity, a key aspect of hate speech. The hashtag #whitematriarchy adds a layer of critique on racial and gender power dynamics. However, the absence of calls for violence or vulgar language might lead to some annotators not classifying it as hate speech, resulting in moderate disagreement.",0.6
880,880,11066,Shit down his throat. I'll put my gifted IQ against his lucky-to-get-through college IQ any day.,0.0,1.0,0.7,0.3,"The post contains vulgar and offensive language ('Shit down his throat') which could be interpreted as a metaphorical call for violence or an expression of extreme disdain. The use of profanity and the aggressive tone may lead some annotators to classify it as hate speech, particularly if they perceive it as a threat or demeaning statement. However, the lack of specific targeting based on protected characteristics might lead others to see it as merely offensive rather than hate speech. This results in a moderate level of disagreement among annotators.","The post uses vulgar language and an aggressive tone, which could be seen as offensive and potentially inciting violence metaphorically. The phrase 'Shit down his throat' is particularly aggressive and could be interpreted as a violent expression, though it lacks specificity in targeting a protected group. The mention of 'gifted IQ' versus 'lucky-to-get-through college IQ' introduces a personal attack based on perceived intelligence, which may not directly fall under hate speech but contributes to the overall offensive nature of the post. Given these factors, there is likely to be some disagreement among annotators, with a higher percentage classifying it as hate speech due to the offensive and aggressive language.",0.7
903,903,11369,Indeed. Which proves not all are bad. True followers of only quran. Not Talmudic wahhabism. Most young are following crypto jew Saudi wahhabism. Thanks.👍🏻,0.0,1.0,0.6,0.4,"The post contains language that could be interpreted as demeaning or degrading towards certain religious groups, specifically by contrasting 'true followers of only quran' with 'Talmudic wahhabism' and 'crypto jew Saudi wahhabism.' This language could be seen as an assault on human dignity by implying negative connotations about certain religious practices or groups. The use of 'crypto jew' could be perceived as a slur or offensive language. However, the post does not explicitly call for violence. The ambiguity in the language and the potential for different interpretations based on cultural or religious context may lead to some disagreement among annotators, but the presence of potentially offensive language suggests a moderate likelihood of being classified as hate speech.","The post contrasts 'true followers of only quran' with 'Talmudic wahhabism' and 'crypto jew Saudi wahhabism,' which could be interpreted as demeaning or degrading towards certain religious groups. The term 'crypto jew' could be seen as a slur or offensive language. While there is no explicit call for violence, the language used could be seen as an assault on human dignity. The ambiguity and potential for different interpretations may lead to some disagreement among annotators, but the presence of potentially offensive language suggests a moderate likelihood of being classified as hate speech.",0.6
907,907,11411,And now there will be a »Soros University« in Vienna/Austria. Let that sink in. The Left is out for joy. The must be a #ReconquistaAustriaca or we are lost!,0.0,1.0,0.6,0.4,"The post mentions 'Soros University' in a context that suggests opposition to it, which may imply an anti-Semitic undertone given the common conspiracy theories surrounding George Soros. The hashtag #ReconquistaAustriaca suggests a call to action to reclaim Austria, which could be interpreted as a nationalist or exclusionary sentiment. However, the post does not explicitly call for violence or use vulgar language, leading to some ambiguity in interpretation. This results in a moderate level of disagreement among annotators, with a slight majority likely to classify it as hate speech due to the potential for demeaning or degrading implications.","The post references 'Soros University' in a way that could be interpreted as anti-Semitic, given the common conspiracy theories about George Soros. The use of the hashtag #ReconquistaAustriaca suggests a nationalist sentiment, which could be seen as exclusionary or demeaning to certain groups. However, the post does not explicitly call for violence or use offensive language, leading to some ambiguity. This results in a moderate level of disagreement among annotators, with a slight majority likely to classify it as hate speech.",0.6
912,912,11460,"In case Warden doesn't post this link, I will. Read the Whole Thing http://ace.mu.nu/archives/376689.php  Been saying for decades that Civil War 2.0 will happen prior to 2025. I see nothing to change my mind, or even question the math any more. It's coming. Be ready.",0.0,1.0,0.6,0.4,"The post suggests the inevitability of a civil war, which can be interpreted as a call for violence or at least an acceptance of violent conflict. This could be seen as inciting or encouraging violence, which is a key aspect of hate speech. However, the post does not explicitly call for violence or use offensive language, which might lead to some disagreement among annotators. The prediction of civil war could be seen as a political opinion rather than a direct incitement, leading to some annotators not classifying it as hate speech.","The post suggests the inevitability of a civil war, which can be interpreted as a call for violence or at least an acceptance of violent conflict. This could be seen as inciting or encouraging violence, which is a key aspect of hate speech. However, the post does not explicitly call for violence or use offensive language, which might lead to some disagreement among annotators. The prediction of civil war could be seen as a political opinion rather than a direct incitement, leading to some annotators not classifying it as hate speech. Therefore, I predict a moderate level of disagreement with percentages of [0.6, 0.4] for hate speech vs. not hate speech.",0.6
937,937,11662,OBVIOUS. FAKE. STAGED. False Flag Terrorism.  And now the media needs armed guards to protect themselves against us crazy civilians? All tax-paid for??,0.0,1.0,0.6,0.4,"The post suggests that media claims of needing protection are exaggerated or fabricated, which could be interpreted as undermining the seriousness of threats against journalists. It uses terms like 'False Flag Terrorism' which can be associated with conspiracy theories. The phrase 'us crazy civilians' could be seen as sarcastic, potentially minimizing the threat of violence. However, it does not explicitly call for violence or use vulgar language, leading to some ambiguity in interpretation.","The post contains elements that could be interpreted as undermining the seriousness of threats against journalists, which might be seen as an assault on human dignity. The use of 'False Flag Terrorism' suggests a conspiracy theory angle, which can be polarizing. The phrase 'us crazy civilians' is sarcastic and could be seen as minimizing the threat of violence, but it does not explicitly call for violence or use vulgar language. This leads to some ambiguity in interpretation, resulting in a moderate level of disagreement among annotators.",0.6
947,947,11749,"Just give the word, boss. How many goy lives and limbs do you need this time?",0.0,1.0,0.7,0.3,"The post uses the term 'goy,' which is often used in a derogatory manner towards non-Jewish people. This can be seen as an assault on human dignity based on religious or ethnic lines. The phrase 'how many lives and limbs do you need this time?' could be interpreted as a call for violence or at least a reference to violence, adding to the potential for it to be classified as hate speech. The language is somewhat ambiguous, but the use of 'goy' and the context of violence suggest a higher likelihood of being classified as hate speech.","The post contains language that can be interpreted as demeaning towards non-Jewish people, using the term 'goy' in a potentially derogatory context. Additionally, the mention of 'lives and limbs' implies a violent context, which could be seen as a call for violence or at least a reference to it. Given these elements, there is a significant likelihood that annotators would classify this as hate speech, though some may not due to the ambiguity of the context. Therefore, the prediction is that 70% of annotators would classify it as hate speech, while 30% would not.",0.7
952,952,11811,"It always works out this way!😂 @metrouk are no different! Butthurt leftist snowflakes trying desperately to trigger conservatives, get owned by their own childish memes!👌😁🇺🇸",1.0,0.0,0.4,0.6,"The post uses derogatory language such as 'butthurt leftist snowflakes' which could be seen as demeaning to a group based on political beliefs. However, it does not explicitly attack human dignity based on protected characteristics like race or gender, nor does it call for violence. The use of 'owned' and 'childish memes' suggests a mocking tone, but it is more likely to be interpreted as political banter rather than hate speech. The language is somewhat offensive but not overtly hateful, leading to potential disagreement among annotators.","The post contains language that could be considered offensive or derogatory towards a political group ('leftist snowflakes'), but it does not explicitly demean individuals based on protected characteristics such as race, gender, or religion. It does not call for violence, and while it uses mocking language, it is more likely to be interpreted as political banter. The use of emojis and phrases like 'get owned' suggests a tone of ridicule rather than hate. Therefore, there might be some disagreement among annotators, with a slight majority likely classifying it as not hate speech.",0.6
960,960,11881,Loads of those sort of places here in England. Also we have lost free speech and have sharia courts due to feeble minded liberals.,1.0,0.0,0.4,0.6,"The post makes a claim about the loss of free speech and the presence of sharia courts in England, attributing these to 'feeble minded liberals.' This could be seen as an assault on human dignity by implying that liberals are responsible for negative societal changes. However, it does not explicitly call for violence or use vulgar language. The post's interpretation may vary based on one's views on political and cultural issues, leading to moderate disagreement among annotators.","The post criticizes liberals and suggests that their actions have led to negative consequences in England, such as the loss of free speech and the presence of sharia courts. This could be interpreted as an attack on a political group, which may be seen as demeaning. However, it lacks explicit calls for violence or vulgar language, making it less clear-cut as hate speech. The context and political views of annotators may influence their interpretation, resulting in moderate disagreement.",0.6
962,962,11887,"Me, when very young, in the car with my Mother, not in the very best neighborhood, waiting for my Father, as a black walks by, yelled as loud as my little voice could 'Mom! You know that stuff won't was off?!?!'",0.0,1.0,0.7,0.3,"The post contains a racially insensitive remark made by the speaker as a child, which could be interpreted as demeaning or degrading towards black individuals. This falls under the 'Assaults on Human Dignity' aspect of hate speech. The post does not contain calls for violence or vulgar language, but the racial undertone is likely to lead to a higher percentage of annotators classifying it as hate speech. However, since the speaker is recounting a childhood memory, some annotators might not view it as hate speech, leading to some disagreement.","The post recounts a childhood memory where the speaker made a racially insensitive comment about a black person. This comment can be seen as demeaning or degrading, which aligns with the 'Assaults on Human Dignity' aspect of hate speech. While the post does not explicitly call for violence or use vulgar language, the racial undertone is significant enough to likely result in a higher percentage of annotators classifying it as hate speech. However, the context of the speaker being a child at the time might lead some annotators to view it as less severe, resulting in some disagreement. Therefore, I predict the percentages of annotators who classify the post as hate speech vs. not hate speech to be [0.7, 0.3].",0.7
978,978,11989,"No, Mollie 'I hate white people' Tibbetts symbolizes Flyover Country because her heart was bigger than her brain and she acquiesced in policies that eventually led to her death.",0.0,1.0,0.7,0.3,"The post contains elements that could be interpreted as hate speech, particularly in the way it references Mollie Tibbetts. The phrase 'I hate white people' is a direct assault on human dignity, suggesting racial animosity. Additionally, the post implies that her death was a result of her own political beliefs, which could be seen as demeaning or degrading. The language used is provocative and could be seen as offensive, leading to a higher likelihood of annotators classifying it as hate speech. However, the post does not explicitly call for violence, which might lead some annotators to classify it as not hate speech. Overall, the post is likely to result in some disagreement among annotators, but the presence of racial and offensive language suggests a higher percentage of hate speech classification.","The post contains elements that could be interpreted as hate speech, particularly in the way it references Mollie Tibbetts. The phrase 'I hate white people' is a direct assault on human dignity, suggesting racial animosity. Additionally, the post implies that her death was a result of her own political beliefs, which could be seen as demeaning or degrading. The language used is provocative and could be seen as offensive, leading to a higher likelihood of annotators classifying it as hate speech. However, the post does not explicitly call for violence, which might lead some annotators to classify it as not hate speech. Overall, the post is likely to result in some disagreement among annotators, but the presence of racial and offensive language suggests a higher percentage of hate speech classification.",0.7
997,997,12185,Good riddance Hanoi John!  Stang lays out just some of McCain’s bloody legacy. The man never met a group of people he didn’t want to bomb. The McCain Feingold Act was a Constitutional abomination and his blind hatred for Trump seemed to be a mixture of jealousy and fear that his Deep State buddies were about to be exposed. And don’t forget to look up McCain’s “Tokyo Rose” recordings...,0.0,1.0,0.6,0.4,"The post contains derogatory language towards John McCain, referring to him as 'Hanoi John' and accusing him of having a 'bloody legacy' and 'blind hatred for Trump.' This could be seen as an assault on human dignity, particularly given McCain's status as a public figure and war veteran. The post also implies negative actions and intentions, such as wanting to bomb groups of people and being involved with the 'Deep State.' However, it does not explicitly call for violence or use vulgar language. The post's interpretation may vary, leading to some disagreement among annotators.","The post uses derogatory language towards John McCain, referring to him as 'Hanoi John' and accusing him of having a 'bloody legacy' and 'blind hatred for Trump.' This could be interpreted as an assault on human dignity, especially given McCain's status as a public figure and war veteran. The post also implies negative actions and intentions, such as wanting to bomb groups of people and being involved with the 'Deep State.' However, it does not explicitly call for violence or use vulgar language. The interpretation of the post may vary, leading to some disagreement among annotators.",0.6
1007,1007,12297,"Nothing needs to be done. If he survives his eventual and certain cultural enrichment, then he'll see things our way.",0.0,1.0,0.7,0.3,"The post uses the phrase 'cultural enrichment' in a sarcastic or euphemistic manner, which is often used in a derogatory context to imply negative consequences associated with multiculturalism or immigration. This can be seen as an assault on human dignity, as it degrades individuals or groups based on cultural or ethnic backgrounds. The phrase 'eventual and certain' suggests a negative outcome, which could be interpreted as a veiled threat or wish for harm, although it does not explicitly call for violence. The language is ambiguous and relies on context, leading to potential disagreement among annotators.","The post contains language that can be interpreted as demeaning or degrading towards certain cultural or ethnic groups, particularly with the use of 'cultural enrichment' in a sarcastic manner. This suggests an assault on human dignity. However, it does not explicitly call for violence or use vulgar language. The ambiguity and reliance on context may lead to high disagreement among annotators, but the derogatory undertone suggests a higher likelihood of being classified as hate speech.",0.7
1025,1025,12453,"YOU WERE WARNED THAT THEY WOULD COME FOR YOU NEXT.  The Alt-Right warned you. We told you exactly what would happen.  YOU DIDN’T LISTEN. You didn’t want to be called “racist.” Now it will be even harder for you to fight back, because you’ve already made it clear that your issue is not *all* censorship of lawful speech, but merely the *degree* of censorship.",0.0,1.0,0.6,0.4,"The post contains elements that could be interpreted as hate speech, particularly in its alignment with the Alt-Right, which is often associated with racist ideologies. The use of capital letters and the phrase 'they would come for you next' could be seen as inciting fear or suggesting a threat, which may be interpreted as a call for action or violence. However, the post does not explicitly demean any specific group or use vulgar language, which might lead to some annotators not classifying it as hate speech. This results in a moderate level of disagreement among annotators.","The post aligns itself with the Alt-Right, a group often associated with racist and extremist ideologies, which may lead some annotators to classify it as hate speech. The language used ('YOU WERE WARNED', 'YOU DIDN’T LISTEN') is aggressive and could be interpreted as inciting fear or suggesting a threat, which might be seen as a call for action or violence. However, the post does not explicitly demean any specific group or use vulgar language, which might lead to some annotators not classifying it as hate speech. This results in a moderate level of disagreement among annotators, with a prediction of [0.6, 0.4] for hate speech vs. not hate speech.",0.6
1031,1031,12482,"I rate Facebook's trustworthiness at -100. Seriously, people, STOP supporting your enemies. This is not a game. They really want you dead and gone.  http://thehill.com/policy/technology/402829-facebo...",0.0,1.0,0.6,0.4,"The post contains a strong negative sentiment towards Facebook, suggesting that it is an 'enemy' and implying that it wants people 'dead and gone.' This could be interpreted as a call for violence or an assault on human dignity, as it dehumanizes the entity and suggests a threat to life. However, the post does not explicitly call for violence or use vulgar language, which may lead to some disagreement among annotators. The ambiguity in the language and the lack of direct offensive language or explicit calls for violence may result in moderate disagreement among annotators.","The post expresses a strong distrust and animosity towards Facebook, suggesting that it is an enemy and implying that it wants people 'dead and gone.' This language could be interpreted as dehumanizing and threatening, which aligns with aspects of hate speech such as assaults on human dignity. However, the post does not explicitly call for violence or use vulgar language, which may lead to some disagreement among annotators. The ambiguity in the language and the lack of direct offensive language or explicit calls for violence may result in moderate disagreement among annotators. Therefore, I predict that 60% of annotators might classify this as hate speech, while 40% might not.",0.6
