,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_list_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff
37,President Trump Honors North Korean Defector https://twitter.com/OANN/status/958715793461542912,0,0,0,0,"The post is a straightforward statement about President Trump honoring a North Korean defector, with a link to a news source. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and factual, and there is no indication of hate speech. Annotators are likely to agree on this assessment, resulting in low disagreement.","[0, 0, 0]","The post is a straightforward statement about President Trump honoring a North Korean defector, with a link to a news source. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and factual, and there is no indication of hate speech. Annotators are likely to agree on this assessment, resulting in low disagreement. Therefore, the labels assigned by the annotators would likely be [0, 0, 0].",0,0
38,"No it is not. But Anni is absolutely delusional with her ""answer"" to the threat of Islam. She said all we have to do to win this war is show Muslims what is in the Koran, and they will leave it. When the ideology has no followers, it will no longer be a threat. Right, it will that easy.",1,1,1,0,"The post discusses a perceived threat from Islam and criticizes a person named Anni for her approach to addressing this threat. The language used is not overtly vulgar or offensive, but it does imply a negative view of Islam as an ideology. The post does not explicitly call for violence, but it does suggest that Islam is a threat that needs to be addressed. Annotators might disagree on whether this constitutes an assault on human dignity, as it could be seen as demeaning to Muslims by implying that their religion is inherently threatening. Given the lack of explicit offensive language or calls for violence, there might be some disagreement among annotators, but it is likely to be low disagreement overall.","[0, 0, 1]","The post critiques a person's approach to dealing with Islam, suggesting that the religion is a threat. While it does not use vulgar language or explicitly call for violence, it implies a negative view of Islam. Annotators might disagree on whether this constitutes hate speech, particularly regarding assaults on human dignity, but the disagreement is likely to be low.",0,1
39,You delusional fuckup Hitler never flooded his country with other nations You kike c....t,1,1,1,0,"The post contains highly offensive language, including a racial slur ('kike') and vulgarity ('fuckup', 'c....t'). The use of 'Hitler' in a context that seems to praise or defend his actions could be interpreted as an assault on human dignity, particularly towards Jewish people. The language is explicitly offensive and targets a specific group, which is likely to be seen as hate speech by most annotators. Given the explicit nature of the language and the historical context invoked, there is likely to be low disagreement among annotators that this post constitutes hate speech.","[1, 1, 1]","The post is likely to be labeled as hate speech by all three annotators due to its use of racial slurs, vulgar language, and the context of defending or praising Hitler, which is an assault on human dignity.",1,0
40,Teresa the appeaser rushed to outrage in Syria while our kids have been raped by these bastard savages for years.,1,1,1,0,"The post uses the phrase 'bastard savages' which is a derogatory term likely directed at a specific group, potentially demeaning or degrading them based on ethnicity or nationality. This could be seen as an assault on human dignity. The post does not explicitly call for violence, but the use of 'savages' could imply a dehumanizing view that might indirectly incite hostility. The language is vulgar and offensive, particularly the use of 'bastard savages,' which could be interpreted as hate speech by some annotators. Given the strong language and potential for different interpretations, there might be some disagreement among annotators, but likely low disagreement as the offensive language is quite clear.","[1, 1, 1]","The post contains offensive language ('bastard savages') that degrades a group, likely based on ethnicity or nationality, which constitutes an assault on human dignity. The vulgarity and offensive language aspect is clearly present. While there is no direct call for violence, the dehumanizing language could be seen as indirectly inciting hostility. Annotators are likely to agree that this post constitutes hate speech due to the clear use of derogatory language.",1,0
41,"Most all so called refugees were former IsIs scum all military aged men , you are so right , A GLOBALIST BACKED STANDING ARMY . Hagelian Dialect",1,1,1,0,"The post makes a sweeping generalization about refugees, labeling them as 'former ISIS scum' and 'military aged men,' which can be seen as an assault on human dignity by demeaning a group based on their status as refugees. The language used is derogatory and could be interpreted as offensive. Additionally, the mention of a 'GLOBALIST BACKED STANDING ARMY' suggests a conspiracy theory, which might not directly call for violence but could incite fear or hostility towards refugees. Given these elements, annotators might have differing views on whether this constitutes hate speech, leading to potential disagreement.","[1, 0, 1]","The post contains elements that could be interpreted as hate speech, particularly in its demeaning language towards refugees and the use of derogatory terms. Annotator Andy might label it as hate speech due to the assault on human dignity and offensive language. Annotator Ben might not see it as hate speech if he interprets it as a political opinion rather than a direct attack. Annotator Chris might agree with Andy, seeing the language as degrading and potentially inciting hostility, thus labeling it as hate speech.",1,0
42,"Fucking Jew, Jew, Jew, Jew, LOL 😂 I love saying Jew! Jew bitch, Jew fagg, Jew pedophile, etc, etc! Add the word Jew to it and it automatically becomes derogatory! 😂",1,1,1,1,"The post contains multiple aspects of hate speech. It uses vulgar and offensive language, including slurs and derogatory terms, specifically targeting Jewish people. This constitutes an assault on human dignity as it demeans and degrades individuals based on their religion. The repeated use of the word 'Jew' in a derogatory context is likely to be interpreted as hate speech by all annotators. The post does not explicitly call for violence, but the offensive language and demeaning nature are clear indicators of hate speech. Given the explicit nature of the language and the clear target, there is likely to be low disagreement among annotators, with all or most labeling it as hate speech.","[1, 1, 1]","The post is highly offensive and targets a specific group (Jewish people) with derogatory language. It uses slurs and offensive terms, which are clear indicators of hate speech. The post does not call for violence but does assault human dignity through its language. Annotators are likely to agree on labeling this as hate speech due to the explicit and derogatory nature of the content.",1,0
43,"""You’re Going To JAIL!”, Nunes DROPS A NUKE On Hillary, Confirms Her Worst Form Of Collusion Yet https://www.youtube.com/watch?v=tNzSXkUodF8",0,1,0,0,"The post uses sensational language, such as ""DROPS A NUKE"" and ""Confirms Her Worst Form Of Collusion Yet,"" which is likely intended to grab attention. However, it does not directly demean or degrade individuals or groups based on protected characteristics, nor does it explicitly call for violence. The language is provocative but not overtly vulgar or offensive. The post seems to be more about political commentary rather than hate speech. Annotators might have low disagreement, as the post does not clearly fall into the hate speech categories.","[0, 0, 0]","The post is a sensational political statement targeting a public figure, Hillary Clinton, with accusations of collusion. It does not contain explicit hate speech elements such as assaults on human dignity, calls for violence, or vulgarity/offensive language. Annotators are likely to agree that it does not constitute hate speech.",0,0
44,If we get the word OUT ,1,1,1,0,"The post 'If we get the word OUT' is very vague and lacks context. It does not contain any explicit language or content that directly relates to the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity and offensive language. Due to its ambiguity and lack of context, annotators might have different interpretations of what 'the word' refers to, leading to high disagreement. Some might see it as a benign statement, while others might infer a negative connotation depending on their assumptions about the context.","[0, 0, 0]","The post is too vague to be considered hate speech without additional context. It does not explicitly demean, incite violence, or use offensive language. Therefore, it is likely that all annotators would agree it is not hate speech, resulting in labels [0, 0, 0].",0,1
45,The Jew wants to kill and breed out Whites. Jews lobby for the White Genocide in South Africa and their jingo sell out race traitor libtards follow suit.,1,1,1,1,"The post contains explicit hate speech targeting Jews, accusing them of wanting to kill and breed out Whites, which is an assault on human dignity. It also uses derogatory terms like 'jingo sell out race traitor libtards,' which falls under vulgarity and offensive language. The post promotes harmful stereotypes and conspiracy theories about Jews, which is likely to be interpreted as hate speech by all annotators. Given the explicit nature of the language and the clear targeting of a specific group, there is likely low disagreement among annotators.","[1, 1, 1]","The post is likely to be labeled as hate speech by all three annotators due to its explicit targeting of Jews and the use of offensive language. It clearly assaults human dignity by promoting harmful stereotypes and conspiracy theories about Jews, and it uses derogatory language. Therefore, the labels are likely to be [1, 1, 1].",1,0
46,"GOP Lawmaker: Comey, McCabe & Ohr Should Be in PRISON for ‘Committing Fraud Upon FISA Court’",0,1,0,0,"The post expresses a strong opinion about certain individuals, suggesting they should be imprisoned for alleged fraud. However, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it incite violence. The language is assertive but not vulgar or offensive. Annotators might have different interpretations based on their views on political discourse and whether they see this as a call for violence or simply a political opinion. Therefore, there might be some disagreement among annotators, but it is likely to be low.","[0, 0, 0]","The post is a political opinion piece that criticizes specific individuals for alleged legal misconduct. It does not contain hate speech as it does not attack individuals based on protected characteristics, nor does it use vulgar language or incite violence. Annotators are likely to agree that this is not hate speech, resulting in low disagreement.",0,0
47,"Hey retard, thats not how tagging works, kill yourself you dumbfuck baby boomer nigger.",1,1,1,1,"The post contains multiple aspects of hate speech. It uses vulgar and offensive language, including slurs such as 'retard' and 'nigger,' which are derogatory and demeaning to individuals with disabilities and people of African descent, respectively. The phrase 'kill yourself' is a call for violence, encouraging self-harm. The post also assaults human dignity by using language that degrades individuals based on race and possibly age ('baby boomer'). Given the explicit nature of the language and the multiple aspects of hate speech present, annotators are likely to agree that this post constitutes hate speech, resulting in low disagreement.","[1, 1, 1]","The post is highly offensive and contains multiple elements of hate speech, including vulgarity, calls for violence, and assaults on human dignity. Annotators are likely to agree on labeling it as hate speech.",1,0
48,A reason to ignore the word and continue to speak the truth!,0,0,0,0,"The post is quite vague and does not contain any explicit language or context that would clearly categorize it as hate speech. It does not seem to assault human dignity, call for violence, or use vulgar or offensive language. The phrase 'speak the truth' could be interpreted in various ways depending on the context, but without additional context, it is not inherently hateful. Annotators might have different interpretations based on their subjective views, but overall, it is likely to be seen as non-hate speech.","[0, 0, 0]","The post is vague and lacks explicit content that would categorize it as hate speech. It does not demean individuals or groups, incite violence, or use offensive language. The phrase 'speak the truth' is open to interpretation but is not inherently hateful. Annotators are likely to agree that it is not hate speech.",0,0
49,Liberalism = socialism = communism = hatred = evil,1,1,0,1,"The post equates liberalism, socialism, and communism with hatred and evil. This could be seen as an assault on human dignity by demeaning political ideologies and those who identify with them. However, it does not explicitly call for violence or use vulgar language. Annotators might disagree on whether this constitutes hate speech, as it depends on the interpretation of whether political ideologies are protected characteristics and the severity of the language used.","[0, 1, 0]","The post equates liberalism, socialism, and communism with hatred and evil. This could be seen as an assault on human dignity by demeaning political ideologies and those who identify with them. However, it does not explicitly call for violence or use vulgar language. Annotators might disagree on whether this constitutes hate speech, as it depends on the interpretation of whether political ideologies are protected characteristics and the severity of the language used. Therefore, the labels could be [0, 1, 0], indicating some disagreement among annotators.",0,1
50,"""In fact, President Trump is said to have written in his 2011 book, ""Time to Get Tough: Make America Great Again!"" , that Saudi Arabia is the ""World's biggest funder of terrorism"". Of course this explains why his administration just signed a $110 billion weapons deal with them as well right? Makes perfect sense!""",1,1,1,0,"The post discusses a political issue involving President Trump and a weapons deal with Saudi Arabia. It uses sarcasm to highlight a perceived contradiction in U.S. foreign policy. The post does not contain vulgar or offensive language, nor does it call for violence. It does not demean or degrade individuals or groups based on protected characteristics. Therefore, it is unlikely to be considered hate speech by the annotators.","[0, 0, 0]",The post is a critique of political actions and does not exhibit characteristics of hate speech. It is likely to be labeled as non-hate speech by all annotators.,0,1
51,Where is that Nicolas Cage meme when you need it? ,1,1,1,0,"The post is a reference to a popular meme involving Nicolas Cage, which is typically used in a humorous or sarcastic context. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is likely to be interpreted as non-hate speech by all annotators due to its neutral and humorous nature.","[0, 0, 0]",The post is a light-hearted reference to a meme and does not exhibit any characteristics of hate speech. It is unlikely to be interpreted as hate speech by any of the annotators.,0,1
52,The jews are behind it,1,1,1,0,"The post 'The jews are behind it' is likely to be interpreted as hate speech by most annotators due to its antisemitic nature. It suggests a conspiracy theory that blames Jewish people for unspecified events or actions, which is a common antisemitic trope. This can be seen as an assault on human dignity as it targets a specific religious and ethnic group. The post does not explicitly call for violence, but the use of 'The jews' in a blaming context is offensive and demeaning. Given the clear antisemitic implication, there is likely to be low disagreement among annotators, with most agreeing it constitutes hate speech.","[1, 1, 1]","The post 'The jews are behind it' is likely to be interpreted as hate speech by most annotators due to its antisemitic nature. It suggests a conspiracy theory that blames Jewish people for unspecified events or actions, which is a common antisemitic trope. This can be seen as an assault on human dignity as it targets a specific religious and ethnic group. The post does not explicitly call for violence, but the use of 'The jews' in a blaming context is offensive and demeaning. Given the clear antisemitic implication, there is likely to be low disagreement among annotators, with most agreeing it constitutes hate speech. Therefore, the labels would likely be [1, 1, 1].",1,0
53,The only way to stop these animals is to hang them one by one in the city square so others from their culture can see what happens when you rape one of ours.,1,1,0,1,"The post contains language that dehumanizes a group of people by referring to them as 'animals,' which is an assault on human dignity. It also explicitly calls for violence by suggesting that individuals should be hanged in the city square as a form of punishment and deterrence. The post uses offensive language and promotes a violent and degrading act based on cultural or ethnic identity. Given these elements, it is likely that all annotators would agree that this post constitutes hate speech, although there might be some variation in interpretation due to the severity of the language and the explicit call for violence.","[1, 1, 1]","The post is likely to be labeled as hate speech by all annotators due to its dehumanizing language, explicit call for violence, and offensive content targeting a specific cultural group. The consensus among annotators would likely be high, resulting in labels of [1, 1, 1].",1,0
54,"#AntiWhites deny #WhiteGenocide, then treat Whites as pure evil.",1,1,1,0,"The post uses hashtags like #AntiWhites and #WhiteGenocide, which are often associated with white supremacist rhetoric. The phrase 'treat Whites as pure evil' suggests a narrative of victimization and persecution of white people, which can be seen as an assault on human dignity by promoting a divisive and potentially harmful ideology. The post does not explicitly call for violence, but the language used could be interpreted as inflammatory or offensive, particularly in the context of racial discussions. Annotators might disagree on whether this constitutes hate speech due to the lack of explicit vulgarity or direct calls for violence, but the underlying message could be seen as promoting a harmful narrative.","[1, 0, 1]","The post uses language and hashtags that are commonly associated with white supremacist ideologies, which may lead some annotators to label it as hate speech due to its potential to demean or degrade individuals based on race. However, the post does not contain explicit vulgarity or direct calls for violence, which might lead to some disagreement among annotators. Therefore, the labels could vary, with some annotators focusing on the underlying message and others on the lack of explicit offensive language.",1,0
55,"i guess eu is gonna have to back track a little. what we ..usa says matters , more disappointment for msm ",0,0,0,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It seems to be a commentary on international relations and media disappointment, which is not inherently hateful. The language is neutral and does not target any specific group or individual. Therefore, it is likely that annotators would agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a commentary on international relations and media disappointment, without any explicit hate speech elements. Annotators are likely to agree that it does not constitute hate speech.",0,0
56,"""The challenge of this age is in convincing typical white people that it is not socialism they should fear, it is extermination. There are still people waddling around in their tricorn hats talking about the socialist menace. Mention race to them and they start hyperventilating about their constitutional principles."" - @TheZBlog",1,1,1,0,"The post suggests that white people should fear extermination rather than socialism, which could be interpreted as an assault on human dignity by implying a threat to a racial group. It also uses language that could be seen as fear-mongering or inciting fear based on race, which might be interpreted as a call for violence or at least a call to action based on racial fear. However, it does not contain vulgarity or offensive language directly. Annotators might disagree on whether the post constitutes hate speech due to its indirect language and the context of discussing race and fear.","[1, 0, 1]","The post implies a threat to a racial group, which could be seen as an assault on human dignity. It suggests that white people should fear extermination, which might be interpreted as inciting fear based on race. However, it does not contain direct vulgarity or offensive language. Annotators might disagree on whether it constitutes hate speech due to its indirect language and context.",1,0
57,Yeah another Communist/Nazi democrat political tactic to ruin folks lives and put RADICAL women in charge! These folks are lunatics! It's like to hell with due process,0,1,0,0,"The post uses strong language to criticize a political group, referring to them as 'Communist/Nazi' and 'lunatics,' which could be seen as offensive or derogatory. It also mentions 'RADICAL women,' which could be interpreted as an assault on human dignity by targeting women in a political context. However, it does not explicitly call for violence. The language is vulgar and offensive, but the interpretation of whether it constitutes hate speech may vary among annotators.","[0, 1, 1]","The post contains offensive language and derogatory terms, particularly targeting political groups and women. Annotator Andy might see the use of 'Communist/Nazi' and 'lunatics' as offensive but not necessarily hate speech, leading to a label of 0. Annotator Ben might focus on the derogatory nature of the language towards women and political groups, labeling it as hate speech with a 1. Annotator Chris might also see the post as demeaning towards women and political groups, agreeing with Ben and labeling it as hate speech with a 1.",1,1
58,Women. ,1,1,1,0,"The post simply states 'Women.' without any additional context or language that could be interpreted as hate speech. It does not contain any assaults on human dignity, calls for violence, or vulgarity and/or offensive language. Given the lack of context and content, annotators are likely to agree that this post does not constitute hate speech.","[0, 0, 0]","The post 'Women.' is neutral and lacks any context or language that would typically be associated with hate speech. Therefore, it is likely that all three annotators would label it as not hate speech, resulting in labels [0, 0, 0].",0,1
59,Will only post ONCE... posing the question... WHY AINT SLICK WILLY IN PRISON FOR RAPE? ,0,1,0,0,"The post questions why a specific individual, referred to as 'Slick Willy,' is not in prison for rape. The use of the nickname 'Slick Willy' could be seen as derogatory, but it is not explicitly a slur or offensive language. The post does not directly assault human dignity based on protected characteristics, nor does it call for violence. However, it does imply a serious criminal accusation without evidence, which could be seen as offensive or defamatory. Annotators might disagree on whether this constitutes hate speech due to the lack of explicit offensive language or calls for violence, leading to potential high disagreement.","[0, 0, 1]","The post does not contain explicit hate speech elements such as assaults on human dignity based on protected characteristics or calls for violence. It does, however, make a serious accusation against an individual, which could be seen as offensive or defamatory. Annotators might have differing opinions on whether this constitutes hate speech, leading to potential high disagreement. Therefore, the labels could be [0, 0, 1], reflecting a possible disagreement among annotators.",0,0
60,"Upon study and cross reference, I believe the sword mentioned is the spiritual one obtained by belief in God and following His word..  ",0,0,0,0,"The post discusses a 'spiritual sword' obtained through belief in God and following His word. It does not appear to demean or degrade any individuals or groups based on protected characteristics, nor does it incite or encourage violence. The language used is not vulgar or offensive. Therefore, it is unlikely to be considered hate speech by the annotators.","[0, 0, 0]","The post is unlikely to be considered hate speech as it does not exhibit any of the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity and offensive language. It is a religious expression that is generally benign and non-threatening.",0,0
61,"Daniel, you're stupid. If I'm not mistaken there are a great many black police officers. You don't even know how to think for yourself. You're nothing but a parrot, ""Polly want a cracker"".",0,1,0,0,"The post contains a personal attack on someone named Daniel, calling him 'stupid' and a 'parrot.' While it does mention 'black police officers,' it does not explicitly demean or degrade individuals based on race, ethnicity, or other protected characteristics. The language used is offensive and derogatory towards Daniel, but it does not clearly fall into the category of hate speech based on the aspects provided. Annotators might have different interpretations of whether the mention of 'black police officers' in this context is problematic or not, leading to some disagreement.","[0, 0, 1]","The post is primarily a personal attack on an individual named Daniel, calling him 'stupid' and a 'parrot.' While it mentions 'black police officers,' it does not explicitly demean or degrade individuals based on race or ethnicity. The language is offensive towards Daniel, but it does not clearly fall into the category of hate speech based on the aspects provided. Annotators might have different interpretations of whether the mention of 'black police officers' is problematic, leading to some disagreement. Therefore, the labels could be [0, 0, 1].",0,0
62,"Well Chelsea Handler most of little people can't afford 24 hour a day 365 days a year armed security guards. And I would bet they do carry semi automatic weapons, but your too stupid to know what a semi automatic is.",0,1,0,0,"The post criticizes Chelsea Handler, implying that she is out of touch with the average person's reality. It uses the term 'stupid' to describe her, which is offensive but not necessarily hate speech. The post does not seem to target any protected group based on race, ethnicity, gender, religion, or sexual orientation, nor does it call for violence. The use of 'stupid' could be seen as vulgar or offensive language, but it is directed at an individual rather than a group. Annotators might have low disagreement on this post, as it does not clearly fall into the hate speech categories.","[0, 0, 0]","The post criticizes Chelsea Handler, implying that she is out of touch with the average person's reality. It uses the term 'stupid' to describe her, which is offensive but not necessarily hate speech. The post does not seem to target any protected group based on race, ethnicity, gender, religion, or sexual orientation, nor does it call for violence. The use of 'stupid' could be seen as vulgar or offensive language, but it is directed at an individual rather than a group. Annotators might have low disagreement on this post, as it does not clearly fall into the hate speech categories.",0,0
63,"we not the same, the real world become a White Nationalist ",1,1,1,0,"The post suggests a division between 'we' and 'the real world,' which is described as becoming a 'White Nationalist.' This could be interpreted as an endorsement of white nationalism, which is often associated with hate speech due to its exclusionary and supremacist ideology. Annotators might consider this as an assault on human dignity, as it implies a hierarchy based on race. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. The context and intent behind the statement are not entirely clear, which could result in varying interpretations.","[1, 0, 1]","The post implies a division and suggests that the 'real world' is aligning with white nationalist ideology. This can be seen as an endorsement of a supremacist view, which is a form of hate speech. Annotator Andy might label it as hate speech due to its potential to demean or degrade based on race. Annotator Ben might not see it as hate speech if he interprets it as a mere observation rather than an endorsement. Annotator Chris might agree with Andy, seeing it as an implicit support for a supremacist ideology.",1,0
64,"""if you could fight anyone who would u fight"" ",0,0,0,0,"The post is a hypothetical question about fighting someone, which does not directly assault human dignity, call for violence, or use vulgar or offensive language. It is more of a general question that could be interpreted in various ways depending on the context. However, it does not explicitly encourage violence or target any specific group or individual. Annotators are likely to agree that it does not constitute hate speech, leading to low disagreement.","[0, 0, 0]","The post is a simple question about who someone might choose to fight, without any context or indication of hate speech. It does not target any specific group or individual, nor does it use offensive language or incite violence. Therefore, it is likely that all three annotators would label it as not hate speech, resulting in labels [0, 0, 0].",0,0
65,I'm in EU Finland. I really like Finland because this is not a NATO country and part of the NWO ZOG war machine.,0,0,0,0,"The post expresses a preference for Finland due to its non-NATO status and uses the term 'NWO ZOG war machine.' The term 'ZOG' (Zionist Occupied Government) is often associated with anti-Semitic conspiracy theories, which could be seen as an assault on human dignity. However, the post does not explicitly call for violence or use vulgar language. Annotators might disagree on whether the use of 'ZOG' constitutes hate speech, leading to potential disagreement in labeling.","[1, 0, 1]","The post uses the term 'ZOG,' which is associated with anti-Semitic conspiracy theories, potentially leading to it being labeled as hate speech by some annotators. However, it does not explicitly call for violence or use vulgar language, which might lead to disagreement among annotators. Therefore, the labels could be [1, 0, 1].",1,1
66,https://youtu.be/Lm_3sJ8CRuU ,1,1,1,1,"The post is a link to a YouTube video, and without additional context or description, it is challenging to determine if it contains hate speech. Annotators might disagree on labeling due to the lack of information about the video's content. Some might assume neutrality due to the absence of explicit language or context, while others might consider the potential for hate speech based on the video's content, which is unknown from the link alone.","[0, 0, 0]","The post is a link to a YouTube video, and without additional context or description, it is challenging to determine if it contains hate speech. Annotators might disagree on labeling due to the lack of information about the video's content. Some might assume neutrality due to the absence of explicit language or context, while others might consider the potential for hate speech based on the video's content, which is unknown from the link alone. Therefore, the likely consensus is that it does not entail hate speech based on the text provided, resulting in labels [0, 0, 0].",0,1
67,"I noticed black people on TV reality shows bashing Melania and not Michelle. There is a wall blocking their brains from reality. We see after election, when Michelle is interviewed or is a speaker, she shows no class. Melania, on the other hand, shows class with beauty.",0,1,0,0,"The post compares two public figures, Melania and Michelle, and makes a racial observation about black people on TV reality shows. It suggests that black people have a 'wall blocking their brains from reality,' which could be interpreted as demeaning or degrading based on race. This aspect may be seen as an assault on human dignity. The post does not contain explicit calls for violence or vulgar language, but the racial undertone could lead to disagreement among annotators about whether it constitutes hate speech.","[1, 0, 1]","The post contains a racial stereotype about black people, suggesting they are unable to perceive reality correctly. This could be seen as demeaning and degrading, which may lead some annotators to label it as hate speech. However, the absence of explicit vulgarity or calls for violence might lead others to not label it as hate speech. Therefore, there is likely to be some disagreement among annotators.",1,1
68,"How the Left Gets Away With Attacking, Intimidating, and Silencing People - YouTube https://www.youtube.com/watch?v=la92-kyg4rA",0,1,0,0,"The post shares a YouTube link with a title that suggests a critique of the political left, accusing them of attacking, intimidating, and silencing people. The language used in the title does not contain vulgarity or offensive language, nor does it explicitly call for violence. However, it could be interpreted as an assault on human dignity if it is perceived as unfairly targeting a political group. The post's content is likely to be seen as a political opinion rather than hate speech, but the interpretation may vary based on the viewer's political stance. Therefore, there might be some disagreement among annotators, but it is likely to be low disagreement as the post does not contain explicit hate speech elements.","[0, 0, 0]","The post is likely to be labeled as not containing hate speech by all three annotators. It presents a political opinion without using offensive language or calling for violence. While it critiques a political group, it does not explicitly demean or degrade individuals based on protected characteristics. Therefore, the labels are likely to be [0, 0, 0].",0,0
69,THIS IS THE THREAT IN 2018...  SOROS & OBAMA ARE PLANNING ON RIGGING THE 2018 ELECTION TO CREATE FALSE BLUE WAVE ,0,1,0,0,"The post accuses Soros and Obama of planning to rig an election, which could be seen as an assault on their dignity by attributing malicious intent without evidence. However, it does not explicitly call for violence or use vulgar language. The post may be interpreted differently based on political views, leading to potential disagreement among annotators.","[0, 0, 1]","The post suggests a conspiracy theory involving Soros and Obama, which could be seen as an attack on their character, but it does not contain explicit hate speech elements such as calls for violence or vulgar language. Annotators may disagree on whether it constitutes hate speech, with some seeing it as a political opinion rather than an attack on human dignity.",0,0
70,ISIS vows Eiffel Tower drone attack in new poster  ,0,1,0,0,"The post mentions a threat of violence by ISIS, which is a terrorist organization. This could be seen as a call for violence or an incitement of fear, which is a key aspect of hate speech. However, the post itself does not contain vulgar or offensive language, nor does it directly assault human dignity based on protected characteristics. Annotators might focus on the aspect of calls for violence, leading to some disagreement on whether it constitutes hate speech, as it could be interpreted as reporting a threat rather than endorsing it.","[0, 1, 1]","The post discusses a threat of violence by a known terrorist group, which could be interpreted as inciting fear or violence. Annotators may differ in their interpretation, with some viewing it as a report of a threat rather than an endorsement, leading to potential disagreement.",1,1
71,This is why #Muslims haven't contributed anything to the world in 1400 years.,1,1,1,0,"The post makes a sweeping generalization about Muslims, suggesting that they have not contributed anything to the world in 1400 years. This can be seen as an assault on human dignity, as it demeans and degrades a religious group based on their faith. The statement is likely to be interpreted as hate speech by some annotators due to its derogatory nature towards Muslims. However, it does not contain explicit calls for violence or vulgar language, which might lead to some disagreement among annotators about its classification as hate speech.","[1, 0, 1]","The post is likely to be labeled as hate speech by at least some annotators due to its demeaning nature towards Muslims, which falls under the category of assaults on human dignity. However, the lack of explicit vulgarity or calls for violence might lead to one annotator not labeling it as hate speech, resulting in some disagreement.",1,0
72,Interesting: a bank in Latvia is in poor condition.,0,0,0,0,"The post is a straightforward statement about a bank in Latvia being in poor condition. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and factual, without any indication of hate speech. Annotators are likely to agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a straightforward statement about a bank in Latvia being in poor condition. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and factual, without any indication of hate speech. Annotators are likely to agree that this post does not constitute hate speech. Therefore, the labels assigned by the annotators would likely be [0, 0, 0].",0,0
73,"The best ideology is to burn everything to the ground, or as I like to call it, postmodernism. ",1,1,0,1,"The post uses metaphorical language to express a radical idea, which is to 'burn everything to the ground' and equates it with postmodernism. This could be interpreted as a call for violence or destruction, but it is also possible that it is meant to be taken metaphorically or satirically. The phrase 'burn everything to the ground' could be seen as inciting violence, but without specific targets or groups mentioned, it may not be considered hate speech by all annotators. The post does not contain vulgarity or offensive language directed at any specific group. Given the metaphorical nature of the language and the lack of specific targets, there is likely to be high disagreement among annotators.","[0, 1, 0]","The post uses metaphorical language to express a radical idea, which is to 'burn everything to the ground' and equates it with postmodernism. This could be interpreted as a call for violence or destruction, but it is also possible that it is meant to be taken metaphorically or satirically. The phrase 'burn everything to the ground' could be seen as inciting violence, but without specific targets or groups mentioned, it may not be considered hate speech by all annotators. The post does not contain vulgarity or offensive language directed at any specific group. Given the metaphorical nature of the language and the lack of specific targets, there is likely to be high disagreement among annotators.",0,1
74,"If, extremism is present anywhere in US by immigrants of any religion they should be sent back to their country. Let them practice their level of intolerance in their old country! ",0,1,0,0,"The post suggests that immigrants who exhibit extremism should be deported, which could be interpreted as an assault on human dignity, particularly if it targets specific religious or ethnic groups. However, it does not explicitly call for violence or use vulgar language. Annotators might disagree on whether the post constitutes hate speech, as it could be seen as a call for policy action rather than a direct attack on a group.","[0, 1, 0]","The post could be seen as targeting immigrants and potentially demeaning them based on their religion or ethnicity, which might lead one annotator to label it as hate speech. Another annotator might focus on the lack of explicit vulgarity or calls for violence and not label it as hate speech. The third annotator might see the post as a policy opinion rather than hate speech, leading to a mixed set of labels.",0,0
75,"All they will do is rename stuff, nothing will change.",0,0,0,0,"The post is a general statement about renaming things and implies that such actions are superficial and do not lead to real change. It does not target any specific group or individual, nor does it contain offensive language or incite violence. The content is neutral and lacks any elements that would typically be associated with hate speech. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a general statement about renaming things and implies that such actions are superficial and do not lead to real change. It does not target any specific group or individual, nor does it contain offensive language or incite violence. The content is neutral and lacks any elements that would typically be associated with hate speech. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech. [0, 0, 0]",0,0
