,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_0_LLM,Hate_11_LLM,Hate_13_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff,Hate_0_diff,Hate_11_diff,Hate_13_diff
36,"Now to the name calling. As to implying that Reformed types are not Christians, I did not come to your profile to say that you were not part of the elect (though your nasty attitude toward Reformed thought and your Judeophilia would make me question whether you are). Regardless of your standing with Christ, perhaps you should at least learn some manners.",0,1,0,0,"The post contains a critique of someone's attitude towards 'Reformed thought' and 'Judeophilia,' which could be interpreted as an assault on human dignity, particularly if 'Judeophilia' is used pejoratively. However, it does not explicitly call for violence or use vulgar language. Andy might focus on the potential derogatory use of 'Judeophilia' and label it as hate speech. Ben might not see it as hate speech since it lacks explicit offensive language or calls for violence. Chris might also not label it as hate speech, focusing on the lack of explicit derogatory language or incitement to violence.",1,0,0,"The post critiques someone's attitude towards 'Reformed thought' and 'Judeophilia,' which could be seen as an assault on human dignity if 'Judeophilia' is used pejoratively. However, it does not explicitly call for violence or use vulgar language. Andy might focus on the potential derogatory use of 'Judeophilia' and label it as hate speech. Ben might not see it as hate speech since it lacks explicit offensive language or calls for violence. Chris might also not label it as hate speech, focusing on the lack of explicit derogatory language or incitement to violence.",0,0,0,0,0
37,President Trump Honors North Korean Defector https://twitter.com/OANN/status/958715793461542912,0,0,0,0,"The post is a straightforward news headline about President Trump honoring a North Korean defector. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech as it is simply reporting a news event without any derogatory or inflammatory language.",0,0,0,"The post is a straightforward news headline about President Trump honoring a North Korean defector. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech as it is simply reporting a news event without any derogatory or inflammatory language. Therefore, the labels would be: Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0.",0,0,0,0,0
38,"No it is not. But Anni is absolutely delusional with her ""answer"" to the threat of Islam. She said all we have to do to win this war is show Muslims what is in the Koran, and they will leave it. When the ideology has no followers, it will no longer be a threat. Right, it will that easy.",1,1,1,0,"The post criticizes a person named Anni for her approach to dealing with Islam, suggesting that showing Muslims the contents of the Koran will make them abandon their faith. This could be interpreted as an assault on human dignity, as it implies that Muslims are unaware of their own religious texts and would abandon their beliefs if they were. However, it does not explicitly call for violence or use vulgar language. Andy might see this as an attack on a religious group and label it as hate speech. Ben might focus on the lack of explicit calls for violence or offensive language and not label it as hate speech. Chris might also not see it as hate speech due to the absence of vulgarity or direct incitement to violence.",1,0,0,"Andy might label the post as hate speech due to its demeaning tone towards Muslims, suggesting they are delusional or unaware of their own religious texts. Ben might not label it as hate speech because it lacks explicit calls for violence or offensive language. Chris might also not label it as hate speech for similar reasons, focusing on the absence of vulgarity or direct incitement to violence.",0,1,0,1,0
39,You delusional fuckup Hitler never flooded his country with other nations You kike c....t,1,1,1,0,"The post contains highly offensive language, including a racial slur ('kike') and vulgarity ('fuckup', 'c....t'). It references Hitler in a context that could be interpreted as supportive or at least not critical of his actions, which may be seen as an assault on human dignity, particularly towards Jewish people. Andy is likely to label this as hate speech due to the use of racial slurs and offensive language. Ben, who tends to label posts with racial slurs as hate speech, would also likely label this as hate speech. Chris, who sometimes does not label posts as hate speech even when they contain offensive language, might still label this as hate speech due to the explicit racial slur and the context involving Hitler.",1,1,1,"The post contains explicit hate speech elements, including racial slurs and offensive language, which are likely to be recognized as hate speech by all three annotators. Therefore, the labels are: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 1.",1,0,0,0,1
40,Teresa the appeaser rushed to outrage in Syria while our kids have been raped by these bastard savages for years.,1,1,1,0,"The post uses the phrase 'bastard savages,' which could be interpreted as demeaning or degrading language, potentially targeting a specific group. This could be seen as an assault on human dignity. The post does not explicitly call for violence, but the language is inflammatory and could be interpreted as inciting anger or hostility. The use of 'bastard savages' also falls under vulgarity and offensive language. Andy is likely to label this as hate speech due to the degrading language and potential targeting of a group. Ben might also label it as hate speech, as he tends to be sensitive to offensive language and potential demeaning of groups. Chris, however, might not label it as hate speech, as he has shown a tendency to be less sensitive to offensive language unless it is explicitly targeting a protected characteristic or inciting violence.",1,1,0,"Andy is likely to label this post as hate speech due to the use of demeaning language ('bastard savages') which could be interpreted as targeting a specific group, thus assaulting human dignity. Ben might also label it as hate speech, as he tends to be sensitive to offensive language and potential demeaning of groups. Chris, however, might not label it as hate speech, as he has shown a tendency to be less sensitive to offensive language unless it is explicitly targeting a protected characteristic or inciting violence. Therefore, the labels would be: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0.",1,0,0,0,0
41,"Most all so called refugees were former IsIs scum all military aged men , you are so right , A GLOBALIST BACKED STANDING ARMY . Hagelian Dialect",1,1,1,0,"The post makes a sweeping generalization about refugees, labeling them as 'former ISIS scum' and 'military aged men,' which can be seen as an assault on human dignity by demeaning a group based on their status as refugees. It also uses the term 'scum,' which is vulgar and offensive. The mention of a 'GLOBALIST BACKED STANDING ARMY' could imply a conspiracy theory, but it does not directly call for violence. Andy is likely to label this as hate speech due to the demeaning language and generalization about refugees. Ben might also label it as hate speech because of the offensive language and potential for inciting negative sentiment against refugees. Chris, however, might not label it as hate speech if he focuses on the lack of direct calls for violence or if he interprets the post as a political opinion rather than hate speech.",1,1,0,Andy is likely to label the post as hate speech due to the demeaning language towards refugees and the use of the term 'scum.' Ben might also see it as hate speech because of the offensive language and the potential for inciting negative sentiment against refugees. Chris might not label it as hate speech if he focuses on the lack of direct calls for violence or interprets it as a political opinion.,1,0,0,0,0
42,"Fucking Jew, Jew, Jew, Jew, LOL 😂 I love saying Jew! Jew bitch, Jew fagg, Jew pedophile, etc, etc! Add the word Jew to it and it automatically becomes derogatory! 😂",1,1,1,1,"The post contains multiple instances of offensive language and slurs directed at Jewish people, which is a clear assault on human dignity. The repeated use of the word 'Jew' in a derogatory manner, combined with vulgar terms, indicates hate speech. Andy, Ben, and Chris are likely to agree that this post constitutes hate speech due to its explicit demeaning language and targeting of a specific group based on religion and ethnicity.",1,1,1,"The post is highly offensive and uses derogatory language targeting Jewish people. It clearly falls under the category of hate speech due to its demeaning and degrading nature. All three annotators, Andy, Ben, and Chris, are likely to label this as hate speech, resulting in low disagreement among them.",1,0,0,0,0
43,"""You’re Going To JAIL!”, Nunes DROPS A NUKE On Hillary, Confirms Her Worst Form Of Collusion Yet https://www.youtube.com/watch?v=tNzSXkUodF8",0,1,0,0,"The post uses sensational language, such as 'DROPS A NUKE' and 'Confirms Her Worst Form Of Collusion Yet,' which is intended to grab attention. However, it does not directly assault human dignity, call for violence, or use vulgar or offensive language. Andy might see the sensationalism as problematic but not necessarily hate speech. Ben might focus on the lack of direct hate speech elements. Chris might also see it as not hate speech due to the absence of direct attacks or offensive language.",0,0,0,"The post is sensational and potentially misleading but does not meet the criteria for hate speech as it lacks direct assaults on human dignity, calls for violence, or vulgar language. Therefore, Andy, Ben, and Chris are likely to agree that it does not constitute hate speech.",0,0,1,0,0
44,If we get the word OUT ,1,1,1,0,"The post 'If we get the word OUT' is very vague and lacks context. It does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. Without additional context, it is difficult to determine if it is related to hate speech. Andy, Ben, and Chris might all agree that this post does not constitute hate speech due to its lack of content and context.",0,0,0,"The post is too vague to be considered hate speech. It lacks any specific content that would indicate hate speech, such as demeaning language, incitement to violence, or offensive language. Therefore, it is likely that all annotators would label it as not hate speech.",0,1,1,1,0
45,The Jew wants to kill and breed out Whites. Jews lobby for the White Genocide in South Africa and their jingo sell out race traitor libtards follow suit.,1,1,1,1,"The post contains explicit hate speech elements. It assaults human dignity by demeaning and degrading Jews, accusing them of wanting to kill and breed out Whites. It also uses offensive language such as 'jingo sell out race traitor libtards.' The post could be interpreted as a call for violence by suggesting that Jews are lobbying for 'White Genocide.' Given these elements, Andy, Ben, and Chris are likely to label this as hate speech. Andy and Ben have shown a tendency to label posts with anti-Semitic content as hate speech, and Chris, although sometimes more lenient, is likely to agree in this case due to the severity of the language and accusations.",1,1,1,"The post is highly likely to be labeled as hate speech by all three annotators due to its explicit anti-Semitic content, offensive language, and potential incitement of violence. Andy, Ben, and Chris are expected to agree on this assessment.",1,0,0,0,0
46,"GOP Lawmaker: Comey, McCabe & Ohr Should Be in PRISON for ‘Committing Fraud Upon FISA Court’",0,1,0,0,"The post expresses a strong opinion about certain individuals, suggesting they should be imprisoned for alleged fraud. However, it does not appear to target any protected characteristic such as race, ethnicity, gender, religion, or sexual orientation. It does not contain vulgar or offensive language, nor does it explicitly call for violence. The post is more of a political opinion rather than hate speech. Andy might see this as a political statement rather than hate speech, given his tendency to label posts as hate speech when they contain explicit offensive language or attacks on dignity. Ben, who often labels posts as hate speech when they contain calls for violence or offensive language, might not see this as hate speech either, as it lacks those elements. Chris, who is more lenient in labeling posts as hate speech, would likely not consider this hate speech as it does not demean or degrade individuals based on protected characteristics.",0,0,0,"The post is a political opinion about certain public figures and does not contain elements of hate speech as defined by the aspects provided. It lacks assaults on human dignity, calls for violence, and vulgar or offensive language. Therefore, it is likely that all three annotators would agree that this post does not constitute hate speech.",0,0,1,0,0
47,"Hey retard, thats not how tagging works, kill yourself you dumbfuck baby boomer nigger.",1,1,1,1,"The post contains multiple aspects of hate speech. It uses offensive language and slurs, such as 'retard' and 'nigger,' which are vulgar and demeaning. The phrase 'kill yourself' can be interpreted as a call for violence or self-harm. The post also targets individuals based on age ('baby boomer') and race ('nigger'), which assaults human dignity. Andy, Ben, and Chris are likely to label this as hate speech due to the presence of multiple hate speech aspects.",1,1,1,"The post is likely to be labeled as hate speech by all three annotators due to its use of offensive language, racial slurs, and a phrase that can be interpreted as inciting self-harm. Andy, Ben, and Chris would likely agree on labeling this post as hate speech.",1,0,0,0,0
48,A reason to ignore the word and continue to speak the truth!,0,0,0,0,"The post is vague and lacks specific context or content that directly relates to hate speech. It does not explicitly demean or degrade any group, nor does it call for violence or use vulgar language. Andy might see it as a general statement about speaking truth, which does not fall into hate speech. Ben might also interpret it as a benign statement, as there is no clear indication of hate speech. Chris, who tends to be more lenient, would likely not see this as hate speech either, given the lack of offensive content.",0,0,0,"The post is a general statement about speaking the truth and does not contain any elements of hate speech. It does not target any specific group or use offensive language. Therefore, it is likely that all three annotators would agree that this post does not constitute hate speech. Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0.",0,0,0,0,0
49,Liberalism = socialism = communism = hatred = evil,1,1,0,1,"The post equates liberalism, socialism, and communism with hatred and evil. Andy might label this as hate speech due to the broad and negative generalizations that could be seen as demeaning to individuals or groups who identify with these ideologies. Ben might also see this as hate speech because it uses strong language to vilify certain political ideologies, which could be interpreted as an assault on human dignity. Chris, however, might not label this as hate speech, as the post does not directly target a protected characteristic or use vulgar language, and might be seen as a political opinion rather than hate speech.",1,1,0,"Andy might label the post as hate speech due to its broad negative generalizations about political ideologies, which could be seen as demeaning. Ben might also label it as hate speech for similar reasons, viewing the language as an assault on human dignity. Chris might not label it as hate speech, interpreting it as a political opinion rather than a direct attack on a protected characteristic.",1,0,0,1,1
50,"""In fact, President Trump is said to have written in his 2011 book, ""Time to Get Tough: Make America Great Again!"" , that Saudi Arabia is the ""World's biggest funder of terrorism"". Of course this explains why his administration just signed a $110 billion weapons deal with them as well right? Makes perfect sense!""",1,1,1,0,"The post critiques a political decision by highlighting a perceived contradiction in President Trump's actions. It does not contain any direct assaults on human dignity, calls for violence, or use vulgar or offensive language. Andy might focus on the political critique and not see it as hate speech. Ben might also see it as a political commentary rather than hate speech. Chris, who tends to be more lenient in labeling political critique as non-hate speech, would likely not label it as hate speech either.",0,0,0,"The post is a critique of a political decision, pointing out a perceived contradiction in President Trump's actions regarding Saudi Arabia. It does not contain any elements that would typically be classified as hate speech, such as assaults on human dignity, calls for violence, or vulgar and offensive language. Therefore, it is likely that all three annotators, Andy, Ben, and Chris, would not label this post as hate speech.",0,1,1,1,0
51,Where is that Nicolas Cage meme when you need it? ,1,1,1,0,"The post is a reference to a popular meme involving Nicolas Cage, which is typically used in a humorous or sarcastic context. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators.",0,0,0,"The post is a light-hearted reference to a meme and does not exhibit any characteristics of hate speech. Andy, Ben, and Chris would likely agree that it does not constitute hate speech.",0,1,1,1,0
52,The jews are behind it,1,1,1,0,"The post 'The jews are behind it' is a clear example of an assault on human dignity as it perpetuates an anti-Semitic stereotype that Jews are responsible for negative events or conspiracies. This type of language is historically associated with hate speech and discrimination against Jewish people. Andy, who tends to label posts with any form of hate speech as such, would likely see this as a clear case of hate speech due to its anti-Semitic nature. Ben, who also identifies hate speech but sometimes requires more explicit language, would likely agree with Andy in this case due to the directness of the stereotype. Chris, who is more conservative in labeling posts as hate speech, might still label this as hate speech due to the clear anti-Semitic implication, although there is a slight chance he might not if he interprets it as too vague or lacking context. However, given the historical context and the directness of the statement, it's likely all three would agree on labeling it as hate speech.",1,1,1,Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 1,1,0,0,0,1
53,The only way to stop these animals is to hang them one by one in the city square so others from their culture can see what happens when you rape one of ours.,1,1,0,1,"The post contains a call for violence by suggesting hanging individuals in a public space. It also dehumanizes a group by referring to them as 'animals,' which is an assault on human dignity. The language used is highly offensive and targets a specific culture, implying a racial or ethnic component. Andy is likely to label this as hate speech due to the clear call for violence and dehumanizing language. Ben, who often focuses on calls for violence and offensive language, would also likely label this as hate speech. Chris, who sometimes is more lenient, might still label this as hate speech due to the explicit call for violence and dehumanization.",1,1,1,"The post is likely to be labeled as hate speech by all three annotators due to its explicit call for violence, dehumanizing language, and offensive content targeting a specific culture. Andy, Ben, and Chris would all likely agree on labeling this as hate speech.",1,0,0,1,0
54,"#AntiWhites deny #WhiteGenocide, then treat Whites as pure evil.",1,1,1,0,"The post uses hashtags like #AntiWhites and #WhiteGenocide, which are often associated with white supremacist rhetoric. It suggests that there is a denial of a so-called 'White Genocide' and implies that Whites are being treated as 'pure evil.' This language can be seen as demeaning and degrading to non-white groups by suggesting they are responsible for a 'genocide' against whites, which is a common trope in hate speech. Andy is likely to label this as hate speech due to the assault on human dignity and the propagation of a harmful narrative. Ben might also label it as hate speech because of the use of terms that are often associated with white supremacist ideologies, which he tends to identify as hate speech. Chris, however, might not label it as hate speech, as he has shown a tendency to not label posts as hate speech unless they contain explicit calls for violence or vulgar language, which this post does not contain.",1,1,0,"Andy is likely to label this post as hate speech due to its use of terms associated with white supremacist rhetoric and the implication of a 'White Genocide,' which assaults human dignity. Ben is also likely to label it as hate speech for similar reasons, as he tends to identify posts with such rhetoric as hate speech. Chris might not label it as hate speech, as he often requires explicit calls for violence or vulgar language to do so, which this post lacks.",1,0,0,0,0
55,"i guess eu is gonna have to back track a little. what we ..usa says matters , more disappointment for msm ",0,0,0,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It seems to express a political opinion about the influence of the USA over the EU and a disappointment with mainstream media (msm). Andy might see this as a political statement without hate speech elements. Ben, who tends to be more lenient, would likely not see this as hate speech either. Chris, who is more sensitive to offensive language, would also likely not find this post to contain hate speech, as it lacks any direct offensive content.",0,0,0,The post is a political opinion and does not contain elements of hate speech. It is likely to be labeled as non-hate speech by all three annotators.,0,0,0,0,0
56,"""The challenge of this age is in convincing typical white people that it is not socialism they should fear, it is extermination. There are still people waddling around in their tricorn hats talking about the socialist menace. Mention race to them and they start hyperventilating about their constitutional principles."" - @TheZBlog",1,1,1,0,"The post suggests that white people should fear extermination rather than socialism, which could be interpreted as an assault on human dignity by implying a threat to a racial group. It does not explicitly call for violence but uses language that could be seen as fear-mongering. The post does not contain vulgarity or offensive language, but the context and implications could be seen as problematic. Andy might label it as hate speech due to the racial implications and fear-mongering. Ben might also see it as hate speech because of the racial context and the suggestion of extermination. Chris might not label it as hate speech, as it lacks explicit calls for violence or offensive language, and might interpret it as a political commentary.",1,1,0,"Andy might label the post as hate speech due to its racial implications and the suggestion of extermination, which could be seen as an assault on human dignity. Ben might also label it as hate speech for similar reasons, focusing on the racial context and fear-mongering language. Chris, however, might not label it as hate speech, interpreting it as a political commentary without explicit calls for violence or offensive language.",1,0,0,0,0
57,Yeah another Communist/Nazi democrat political tactic to ruin folks lives and put RADICAL women in charge! These folks are lunatics! It's like to hell with due process,0,1,0,0,"The post uses strong language to criticize a political group, referring to them as 'Communist/Nazi' and 'lunatics,' which could be seen as offensive or degrading. It also mentions 'RADICAL women,' which might be interpreted as an assault on human dignity by targeting women in leadership roles. However, it does not explicitly call for violence or use vulgar language. Andy might focus on the derogatory language and label it as hate speech. Ben might see the political criticism as not crossing into hate speech territory, focusing on the lack of explicit calls for violence or vulgarity. Chris might also focus on the political nature of the post and not label it as hate speech, similar to Ben.",1,0,0,"Andy might label the post as hate speech due to the derogatory language used against political groups and women, which could be seen as an assault on human dignity. Ben might not label it as hate speech, as the post lacks explicit calls for violence or vulgarity, and he might interpret it as political criticism. Chris might also not label it as hate speech, focusing on the political nature of the post and the absence of explicit hate speech elements.",0,0,0,0,0
58,Women. ,1,1,1,0,"The post 'Women.' is extremely brief and lacks context, making it difficult to assess for hate speech. It does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. Given its brevity and lack of context, it is likely that Andy, Ben, and Chris would not label it as hate speech. However, due to the ambiguity and potential for different interpretations based on context not provided, there might be some level of disagreement, but it is likely low.",0,0,0,"The post 'Women.' is too brief to determine any hate speech aspects without additional context. It does not explicitly demean, incite violence, or use offensive language. Therefore, it is likely that all annotators would agree it is not hate speech.",0,1,1,1,0
59,Will only post ONCE... posing the question... WHY AINT SLICK WILLY IN PRISON FOR RAPE? ,0,1,0,0,"The post questions why a specific individual, referred to as 'Slick Willy,' is not in prison for rape. It does not directly assault human dignity based on protected characteristics, nor does it call for violence. However, it does use a nickname that could be considered derogatory, and it raises a serious accusation without context or evidence, which could be seen as offensive or defamatory. Andy might see the use of 'Slick Willy' and the accusation as offensive, leading to a label of hate speech. Ben might focus on the lack of direct hate speech elements like assaults on human dignity or calls for violence, leading to a non-hate speech label. Chris might also see the post as not meeting the threshold for hate speech, focusing on the absence of direct hate speech elements.",1,0,0,Label by Andy: 1 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
60,"Upon study and cross reference, I believe the sword mentioned is the spiritual one obtained by belief in God and following His word..  ",0,0,0,0,"The post discusses a 'spiritual sword' obtained through belief in God and following His word. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post appears to be a personal reflection or interpretation of religious belief, which is generally not considered hate speech. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a personal reflection on religious belief, specifically mentioning a 'spiritual sword' obtained through belief in God. It does not demean or degrade any group, incite violence, or use offensive language. Therefore, it is unlikely to be labeled as hate speech by any of the annotators.",0,0,0,0,0
61,"Daniel, you're stupid. If I'm not mistaken there are a great many black police officers. You don't even know how to think for yourself. You're nothing but a parrot, ""Polly want a cracker"".",0,1,0,0,"The post contains an insult directed at an individual named Daniel, calling him 'stupid' and a 'parrot.' However, it does not explicitly demean or degrade individuals or groups based on protected characteristics such as race, ethnicity, gender, religion, or sexual orientation. The mention of 'black police officers' is factual and does not appear to be used in a derogatory manner. There is no call for violence or use of vulgar or offensive language beyond the personal insult. Andy might focus on the personal insult and consider it as a form of hate speech, while Ben and Chris might not see it as hate speech since it lacks the elements of degrading a protected group or inciting violence.",1,0,0,"Andy might label the post as hate speech due to the personal insult directed at Daniel, considering it an assault on human dignity. Ben and Chris, however, might not label it as hate speech because it lacks elements of degrading a protected group or inciting violence. Therefore, Andy: 1, Ben: 0, Chris: 0.",0,0,0,0,0
62,"Well Chelsea Handler most of little people can't afford 24 hour a day 365 days a year armed security guards. And I would bet they do carry semi automatic weapons, but your too stupid to know what a semi automatic is.",0,1,0,0,"The post criticizes Chelsea Handler for her perceived ignorance about firearms and security, using language that could be considered insulting ('too stupid'). However, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. The use of 'stupid' could be seen as offensive, but it is not a slur or vulgarity directed at a group based on protected characteristics. Andy might label it as hate speech due to the offensive language, while Ben and Chris might not see it as hate speech since it lacks elements of demeaning a protected group or inciting violence.",1,0,0,"Andy might label the post as hate speech due to the use of offensive language ('too stupid'), even though it is not directed at a protected group. Ben and Chris are likely to label it as not hate speech because it does not attack a protected characteristic or incite violence.",0,0,0,0,0
63,"we not the same, the real world become a White Nationalist ",1,1,1,0,"The post suggests a division between groups and promotes the idea of a 'White Nationalist' real world. Andy is likely to see this as an assault on human dignity due to the promotion of white nationalism, which often involves demeaning other races. Ben might also see this as hate speech due to the racial implications and the promotion of a divisive ideology. Chris, however, might not label it as hate speech if he interprets it as a statement of identity rather than an explicit attack or call for violence.",1,1,0,"Andy is likely to label this as hate speech due to the promotion of white nationalism, which can be seen as an assault on human dignity. Ben might also label it as hate speech because it promotes a divisive racial ideology. Chris might not label it as hate speech if he interprets it as a statement of identity rather than an explicit attack or call for violence.",1,0,0,0,0
64,"""if you could fight anyone who would u fight"" ",0,0,0,0,"The post is a simple question asking who someone would choose to fight if given the opportunity. It does not specify any particular group or individual, nor does it contain any offensive language or slurs. It does not demean or degrade any group based on protected characteristics, nor does it incite violence against any specific group. The question is open-ended and lacks context, making it unlikely to be considered hate speech by any of the annotators.",0,0,0,"The post is a simple question asking who someone would choose to fight if given the opportunity. It does not specify any particular group or individual, nor does it contain any offensive language or slurs. It does not demean or degrade any group based on protected characteristics, nor does it incite violence against any specific group. The question is open-ended and lacks context, making it unlikely to be considered hate speech by any of the annotators. Therefore, Andy, Ben, and Chris would likely all label it as not hate speech. Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0.",0,0,0,0,0
65,I'm in EU Finland. I really like Finland because this is not a NATO country and part of the NWO ZOG war machine.,0,0,0,0,"The post uses the term 'NWO ZOG war machine,' which is often associated with anti-Semitic conspiracy theories. 'ZOG' stands for 'Zionist Occupied Government,' a term used by some hate groups to suggest that Jewish people control governments. This could be seen as an assault on human dignity by demeaning a group based on religion. Andy, who tends to label posts with any hint of hate speech as such, would likely see this as hate speech. Ben, who also labels posts with clear anti-Semitic language as hate speech, would likely agree with Andy. Chris, however, might not label it as hate speech if he interprets it as a political statement rather than a direct attack, as seen in previous examples where he did not label similar posts as hate speech.",1,1,0,Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0,1,1,1,1,0
66,https://youtu.be/Lm_3sJ8CRuU ,1,1,1,1,"The target post is a URL link to a YouTube video, which does not provide any textual content to analyze directly for hate speech. Without additional context or description, it is challenging to assess the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity and offensive language. Therefore, the annotators might have different interpretations based on their assumptions about the content of the video or their experiences with similar links.",0,0,0,"The post is a URL link without any accompanying text, making it difficult to evaluate for hate speech. Without context, Andy, Ben, and Chris are likely to label it as not hate speech, as there is no explicit content to analyze.",0,1,1,1,1
67,"I noticed black people on TV reality shows bashing Melania and not Michelle. There is a wall blocking their brains from reality. We see after election, when Michelle is interviewed or is a speaker, she shows no class. Melania, on the other hand, shows class with beauty.",0,1,0,0,"The post compares two public figures, Melania Trump and Michelle Obama, in a way that could be interpreted as racially biased. It suggests that black people have a 'wall blocking their brains from reality,' which could be seen as demeaning or degrading based on race. This aspect might lead Andy to label it as hate speech due to the racial undertones. Ben might focus on the comparison and the potential racial bias, but he might not see it as overt hate speech, leading to a possible non-hate speech label. Chris might also see the racial undertones but could interpret the post as more of a personal opinion rather than hate speech, leading to a non-hate speech label.",1,0,0,"The post contains a comparison between Melania Trump and Michelle Obama, with a focus on perceived class and beauty. It also includes a statement about black people having a 'wall blocking their brains from reality,' which could be interpreted as racially insensitive or demeaning. Andy might label this as hate speech due to the racial implications and the demeaning language. Ben might not see it as overt hate speech, focusing instead on the opinion-based nature of the post. Chris might also interpret it as a personal opinion rather than hate speech, leading to a non-hate speech label.",0,0,0,0,0
68,"How the Left Gets Away With Attacking, Intimidating, and Silencing People - YouTube https://www.youtube.com/watch?v=la92-kyg4rA",0,1,0,0,"The post shares a YouTube link with a title that suggests a critique of the political left, accusing them of attacking, intimidating, and silencing people. This could be interpreted as a political opinion rather than hate speech. There is no explicit assault on human dignity, call for violence, or use of vulgar or offensive language in the post itself. Andy might see this as a political statement and not label it as hate speech. Ben, who might be more sensitive to political bias, could see this as a potential attack on a group (the political left) and label it as hate speech. Chris, similar to Andy, might not see this as hate speech since it lacks explicit offensive content.",0,1,0,"Andy might label the post as not hate speech (0) because it appears to be a political opinion without explicit hate speech elements. Ben might label it as hate speech (1) due to the accusatory nature towards a political group, which he might interpret as an attack. Chris might also label it as not hate speech (0) since it lacks direct offensive language or calls for violence.",0,0,1,1,0
69,THIS IS THE THREAT IN 2018...  SOROS & OBAMA ARE PLANNING ON RIGGING THE 2018 ELECTION TO CREATE FALSE BLUE WAVE ,0,1,0,0,"The post suggests a conspiracy theory involving George Soros and Barack Obama planning to rig an election. It does not directly assault human dignity based on protected characteristics, nor does it explicitly call for violence. However, it could be seen as using offensive language by implying a serious accusation without evidence. Andy might see this as a form of hate speech due to the conspiracy theory aspect and the potential to incite distrust or hostility. Ben might not label it as hate speech since it lacks direct offensive language or calls for violence. Chris might also not label it as hate speech, focusing on the lack of direct attacks on individuals or groups based on protected characteristics.",1,0,0,"Andy might label the post as hate speech due to its conspiratorial nature and potential to incite distrust or hostility, even though it doesn't directly attack protected groups or call for violence. Ben might not label it as hate speech, as it lacks direct offensive language or explicit calls for violence. Chris might also not label it as hate speech, focusing on the absence of direct attacks on individuals or groups based on protected characteristics.",0,0,0,0,0
70,ISIS vows Eiffel Tower drone attack in new poster  ,0,1,0,0,"The post mentions a threat of violence by ISIS, which is a terrorist organization. This could be seen as a call for violence or an incitement of fear, which is a key aspect of hate speech. Andy, who tends to label posts with potential threats or incitement of violence as hate speech, is likely to label this as hate speech. Ben, who also considers calls for violence as hate speech, is likely to agree with Andy. Chris, however, might focus on whether the post itself is directly inciting violence or simply reporting a threat, and may not label it as hate speech if he sees it as a report rather than an endorsement.",1,1,0,"Andy is likely to label the post as hate speech due to the mention of a violent threat by a terrorist organization, which aligns with his sensitivity to calls for violence. Ben is also likely to label it as hate speech for similar reasons, as he considers incitement of violence a key aspect of hate speech. Chris might not label it as hate speech if he interprets the post as merely reporting a threat rather than endorsing or inciting violence.",1,1,0,1,0
71,This is why #Muslims haven't contributed anything to the world in 1400 years.,1,1,1,0,"The post makes a sweeping generalization about Muslims, suggesting that they have not contributed anything to the world in 1400 years. This can be seen as an assault on human dignity, as it demeans a religious group by dismissing their contributions entirely. Andy is likely to label this as hate speech due to the demeaning nature of the statement. Ben might also see this as hate speech because it targets a specific religious group with a negative stereotype. Chris, however, might not label it as hate speech if he interprets it as a critique rather than a direct attack, as seen in previous examples where he did not label similar posts as hate speech.",1,1,0,Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0,1,0,0,0,0
72,Interesting: a bank in Latvia is in poor condition.,0,0,0,0,"The post is a straightforward statement about a bank in Latvia being in poor condition. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
